Data,Time,Resource_Name,Header,Text,Comments_Count,Views,Rating,Count_Positive_Reactions,Count_Negative_Reactions,Reposts,Comment_Text,Type,Garbage,Healthcare,Housing_and_Public_Utilities,Education,Infrastructure,Culture,Environmental_Conditions,Social_Security,Politics,Safety,Availability_of_Goods_and_Services,Official_Statements,Tourism,Facts,Positive,Negative,Neutral
2022-01-01,21:17:00,www.news29.ru,Суточная заболеваемость ковидом в Поморье вернулась к показателям конца июля,1 января 2022 года в Архангельской области выявлено 208 новых заболевших ковидом. Последний раз подобный показатель был зафиксирован 30 июля 2021 года. ,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-01,13:14:00,www.news29.ru,Лыжный стадион под Архангельском в новогодние праздники работает без выходных,Любителям активного отдыха в новогодние праздники можно отправиться на лыжный стадион в Малые Карелы.,0,,,2,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-01,12:51:00,www.news29.ru,Дом Деда Мороза в музее «Малые Корелы» ждет юных гостей со 2 января,Со 2 по 9 января с 12 до 15 часов в музее деревянного зодчества Дед Мороз ждет в гости детей. ,0,,,1,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-01,12:43:00,www.news29.ru,В Поморской филармонии продолжается фестиваль «От Рождества до Рождества»,Уже несколько лет подряд в Поморской филармонии проходит зимний музыкальный фестиваль «От Рождества до Рождества». В этом году он стартовал 18 декабря и продолжится до 7 января. ,0,,,2,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-01,12:30:00,www.news29.ru,В центре Архангельска в новогоднюю ночь горожане организовали стихийную дискотеку,В эту новогоднюю ночь власти не стали проводить культурно-развлекательную программу. Разнообразить новогоднюю ночь решили сами горожане спонтанной дискотекой на площади Ленина. ,3,,,35,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-02,17:03:00,www.news29.ru,В Архангельске под воду ушла улица Розы Люксембург ,Из-за аварии на сетях водоснабжения подтопило проезжую часть и тротуары на улице Розы Люксембург. В нескольких домах отключено водоснабжение. Коммунальщики работают над устранением аварии. ,0,,,4,1,,,Пост,,,,,,,,,,,,,,,,,
2022-01-02,16:33:00,www.news29.ru,Иномарка снесла строительный забор и леерное ограждение в центре Архангельска,"На перекрестке улицы Суворова и Троицкого проспекта водитель кроссовера не справился с управлением, снес леерное ограждение, а затем врезался в строительный забор. ",0,,,4,4,,,Пост,,,,,,,,,,,,,,,,,
2022-01-02,16:20:00,www.news29.ru,В Архангельской области впервые за полгода выявили менее 200 случаев коронавируса ,2 января в Поморье зафиксировано 189 новых заболевших коронавирусной инфекцией. В последний раз менее 200 заболевших в регионе выявляли в конце июня 2021 года. ,0,,,0,0,,,Пост,,,,,,,,,,,,,,,,,
2022-01-02,13:31:00,www.news29.ru,Два человека погибли в результате крупного пожара на окраине Архангельска,"В ночь на 2 января загорелся многоквартирный деревянный дом в Маймаксанском округе. В огне задохнулись двое жильцов, ещё двое пострадавших госпитализированы с ожогами и отравлением угарным газом. ",0,,,3,2,,,Пост,,,,,,,,,,,,,,,,,
2022-01-03,21:30:00,www.news29.ru,В Архангельске 4 января ожидается похолодание,"Завтра, 4 января, в столице Поморья ожидается существенное понижение температуры воздуха. Днем термометры покажут -24°, а к вечеру похолодает до -28°.",0,,,1,7,,,Пост,,,,,,,,,,,,,,,,,
